[H[2J[3JPosibles boot master
boot master: 73.89.221.25  Grados: 18
boot master: 185.109.34.183  Grados: 18
#################
Arista mas larga: 
#################
2238 - 401 : 12
3383 - 402 : 47
8115 - 403 : 109
12594 - 404 : 19
9065 - 405 : 47
8339 - 406 : 27
2498 - 407 : 23
3130 - 408 : 33
1577 - 409 : 94
9833 - 410 : 48
2390 - 411 : 112
5136 - 412 : 42
8608 - 413 : 47
8339 - 414 : 24
8941 - 415 : 76
1902 - 416 : 36
9584 - 417 : 46
9338 - 418 : 13
6356 - 419 : 49
1171 - 420 : 51
8708 - 421 : 17
252 - 422 : 56
4482 - 423 : 40
3533 - 424 : 36
2927 - 425 : 40
689 - 426 : 20
2847 - 427 : 57
7922 - 428 : 80
8005 - 429 : 29
7729 - 430 : 70
10349 - 431 : 12
7983 - 432 : 80
10994 - 433 : 72
8735 - 434 : 15
11867 - 435 : 102
1131 - 436 : 36
8632 - 437 : 17
13070 - 438 : 39
10141 - 439 : 34
12402 - 440 : 23
13248 - 441 : 15
4701 - 442 : 34
2646 - 443 : 37
846 - 444 : 43
1342 - 445 : 48
10070 - 446 : 64
7985 - 447 : 94
5174 - 448 : 22
7936 - 449 : 113
11377 - 450 : 65
5844 - 451 : 75
10034 - 452 : 53
12931 - 453 : 51
3610 - 454 : 24
1729 - 455 : 56
3115 - 456 : 38
2060 - 457 : 103
11821 - 458 : 19
3527 - 459 : 27
11417 - 460 : 104
12257 - 461 : 106
1975 - 462 : 202
7354 - 463 : 57
3992 - 464 : 111
12478 - 465 : 44
12886 - 466 : 60
4233 - 467 : 15
408 - 468 : 31
7673 - 469 : 127
1075 - 470 : 106
4482 - 471 : 104
1296 - 472 : 110
11577 - 473 : 34
3634 - 474 : 24
230 - 475 : 106
2794 - 476 : 24
9635 - 477 : 144
12835 - 478 : 50
6443 - 479 : 45
2654 - 480 : 113
9897 - 481 : 32
8018 - 482 : 32
6416 - 483 : 58
3300 - 484 : 118
3324 - 485 : 127
13002 - 486 : 63
4408 - 487 : 50
3919 - 488 : 26
4687 - 489 : 51
4017 - 490 : 57
9251 - 491 : 163
13301 - 492 : 23
5253 - 493 : 46
12263 - 494 : 10
4449 - 495 : 77
5586 - 496 : 122
8005 - 497 : 56
4474 - 498 : 13
12689 - 499 : 14
11585 - 500 : 47
4736 - 501 : 101
9064 - 502 : 52
2364 - 503 : 18
12045 - 504 : 31
7273 - 505 : 65
8693 - 506 : 12
6331 - 507 : 52
6141 - 508 : 85
13008 - 509 : 120
7101 - 510 : 64
7399 - 511 : 90
4245 - 512 : 11
10845 - 513 : 47
4833 - 514 : 17
1240 - 515 : 12
3335 - 516 : 37
383 - 517 : 130
1483 - 518 : 87
12696 - 519 : 17
7788 - 520 : 86
7309 - 521 : 40
9680 - 522 : 48
5987 - 523 : 61
2706 - 524 : 24
8054 - 525 : 39
6739 - 526 : 75
6111 - 527 : 41
11258 - 528 : 55
2023 - 529 : 58
3622 - 530 : 42
4317 - 531 : 40
8087 - 532 : 227
3209 - 533 : 19
12205 - 534 : 70
3354 - 535 : 35
4611 - 536 : 103
11206 - 537 : 35
8190 - 538 : 20
11760 - 539 : 10
4218 - 540 : 18
699 - 541 : 34
3195 - 542 : 38
7018 - 543 : 97
4362 - 544 : 195
5822 - 545 : 26
10010 - 546 : 48
12312 - 547 : 59
4014 - 548 : 27
765 - 549 : 121
9377 - 550 : 36
2245 - 551 : 68
7049 - 552 : 72
9055 - 553 : 59
4007 - 554 : 160
1166 - 555 : 53
9329 - 556 : 119
529 - 557 : 15
7847 - 558 : 170
5424 - 559 : 79
2089 - 560 : 229
1194 - 561 : 39
11098 - 562 : 38
5213 - 563 : 59
7970 - 564 : 78
4158 - 565 : 31
8898 - 566 : 66
4444 - 567 : 27
6432 - 568 : 39
12289 - 569 : 29
3728 - 570 : 34
9755 - 571 : 51
10121 - 572 : 63
6250 - 573 : 51
5456 - 574 : 19
10229 - 575 : 68
9098 - 576 : 37
3262 - 577 : 90
8804 - 578 : 14
4461 - 579 : 30
6587 - 580 : 55
6314 - 581 : 35
2179 - 582 : 54
11170 - 583 : 29
6596 - 584 : 15
2733 - 585 : 47
2807 - 586 : 44
9026 - 587 : 43
11177 - 588 : 79
622 - 589 : 36
5931 - 590 : 20
3068 - 591 : 144
8789 - 592 : 10
1509 - 593 : 45
9097 - 594 : 48
13036 - 595 : 36
2752 - 596 : 12
4202 - 597 : 33
5230 - 598 : 57
2234 - 599 : 83
9549 - 600 : 43
11131 - 601 : 52
12999 - 602 : 65
5278 - 603 : 35
9842 - 604 : 42
11651 - 605 : 53
820 - 606 : 101
2493 - 607 : 99
11684 - 608 : 48
7069 - 609 : 48
7726 - 610 : 75
11894 - 611 : 39
3814 - 612 : 28
3818 - 613 : 132
7074 - 614 : 31
